,Epoch,Time(sec),AUC_dev,pre,recall,PRC_dev,data
0,61.0,29.87129375524819,0.919765166340509,0.6666666666666666,0.6438356164383562,0.7354866454142515,gt_acceptors_achiral_binary_nopu
1,50.0,29.881896670907736,0.9060938477580812,0.7606837606837606,0.5085714285714286,0.706758168438496,gt_acceptors_achiral_binary_nopu
2,59.0,29.69038838101551,0.9293867147923,0.7971014492753623,0.5851063829787234,0.7740061991979146,gt_acceptors_achiral_binary_nopu
3,61.0,29.502084724139426,0.923117502881166,0.8292682926829268,0.5604395604395604,0.8045540423541861,gt_acceptors_achiral_binary_nopu
4,36.0,203.6771791242063,0.8143820228161813,0.6151603498542274,0.1981220657276995,0.4524484772211659,phosphatase_chiral_binary_nopu
5,51.0,203.48880402278155,0.8166917439507646,0.5630252100840336,0.1270142180094786,0.4418841262583976,phosphatase_chiral_binary_nopu
6,12.0,206.6222966541536,0.8289882789621899,0.6179104477611941,0.1790657439446366,0.4883226272738482,phosphatase_chiral_binary_nopu
7,37.0,202.52043556794524,0.8289417607431941,0.5657276995305164,0.2312859884836852,0.4708898364384303,phosphatase_chiral_binary_nopu
8,60.0,128.08408906217664,0.9437750379733342,0.7697715289982425,0.7087378640776699,0.8445301368300948,esterase_binary_nopu
9,58.0,129.3407886242494,0.9406932500822144,0.8173076923076923,0.6921824104234527,0.8468852958098564,esterase_binary_nopu
10,50.0,129.90472662169486,0.948023997616675,0.8109090909090909,0.7124600638977636,0.8605100005219674,esterase_binary_nopu
11,40.0,128.83094948902726,0.9486700752146352,0.780952380952381,0.7935483870967742,0.8496438892763266,esterase_binary_nopu
12,59.0,10.723130120895805,0.7784834623504574,0.46875,0.2586206896551724,0.3294349839418832,duf_binary_nopu
13,62.0,10.417722160927951,0.8695331885856079,0.6666666666666666,0.5769230769230769,0.5154311126404578,duf_binary_nopu
14,59.0,10.45074944710359,0.8277272406741414,0.5476190476190477,0.396551724137931,0.3967801886930787,duf_binary_nopu
15,17.0,10.590073413215578,0.8438954529180092,0.48,0.4210526315789473,0.4243340267987099,duf_binary_nopu
16,52.0,21.13792994897813,0.936849607982894,0.6724137931034483,0.639344262295082,0.7046035101033861,halogenase_NaBr_binary_nopu
17,58.0,21.12150790309533,0.9484186994542704,0.7708333333333334,0.5522388059701493,0.723986651995414,halogenase_NaBr_binary_nopu
18,61.0,21.17833312088624,0.9318126223091976,0.8,0.4931506849315068,0.7510519036694713,halogenase_NaBr_binary_nopu
19,41.0,21.013119547162205,0.925751254610315,0.7560975609756098,0.4189189189189189,0.6999510120678223,halogenase_NaBr_binary_nopu
