#case   # mean delta G   # standard error of mean
 S1P1     -10.6497	1.1255
 S1P2     -8.3378       0.9503
 S1P3     -3.4328	0.8155
 S1P4     -19.7929	0.4619
 S1P5     -10.9811	0.939
 S1P6     -2.4067	0.6627
 S3P1     -13.0509	1.4436
 S5P1     -8.2293	0.8309
 S4P1     -0.2394	0.1673
 S3P2     -1.6367	0.6251
       
